"","gene","pLI"
"474","PSMC1",0.99945
"475","RBM22",0.99947
"476","NFKB1",1
"477","AFF4",1
"478","RB1CC1",1
"479","SAFB",1
"480","TRAPPC8",1
"481","ARID4A",1
"482","TRIO",1
"483","YTHDF2",0.99943
"484","PPFIA2",1
"485","KDM6B",1
"486","SPTB",1
"487","SOS1",1
"488","BAI1",1
"489","AMBRA1",1
"490","UBE2O",1
"491","ZNF292",1
"492","BCOR",1
"493","HDAC5",1
"494","PODXL2",0.99936
"495","AFTPH",0.99997
"496","RANBP3",0.99997
"497","SPAG9",1
"498","FNBP4",1
"499","AGPAT3",0.99933
"500","RANBP2",1
"501","TKTL1",0.99933
"502","ZBTB44",0.99929
"503","WHSC1L1",1
"504","CNOT4",0.99996
"505","JAG2",1
"506","TFCP2L1",0.99996
"507","MAOA",0.99928
"508","SAMD4B",0.99996
"509","CSNK1E",0.99926
"510","DNMT1",1
"511","PHEX",0.99996
"512","ATXN2L",1
"513","XPO4",1
"514","ARFGEF1",1
"515","COPS5",0.99925
"516","SPOP",0.99922
"517","CSDE1",1
"518","API5",0.99996
"519","CUL1",1
"520","DDX46",1
"521","ZFHX4",1
"522","GNB1",0.9992
"523","HOMER1",0.9992
"524","ZFPM2",1
"525","AEBP2",0.99921
"526","NUP85",1
"527","CBLL1",0.99918
"528","RNF38",0.99995
"529","BAZ2A",1
"530","JAG1",1
"531","ASXL2",1
"532","SP3",0.99995
"533","SRRM1",1
"534","MAML1",0.99995
"535","CCNC",0.99914
"536","KIF23",1
"537","EZH2",1
"538","RFX4",0.99999
"539","XRCC5",0.99999
"540","USP24",1
"541","CHD3",1
"542","HNRNPA1",0.99911
"543","PPP1CB",0.99912
"544","FLT4",1
"545","UNC79",1
"546","ZNF217",0.99995
"547","EFHC2",0.9991
"548","WBP11",0.99994
"549","ITPKB",0.99994
"550","CTCF",0.99994
"551","ATP2B2",1
"552","MAOB",0.99903
"553","KLHDC3",0.99908
"554","PRMT1",0.99907
"555","TGFB2",0.99905
"556","DIP2C",1
"557","NFIX",0.99903
"558","FBXL17",0.99901
"559","WAS",0.99901
"560","GCM1",0.999
"561","YBX2",0.99896
"562","TLE4",0.99999
"563","SLC6A1",0.99993
"564","EBF3",0.99993
"565","MAPK8IP3",1
"566","AHSA1",0.99896
"567","PAN3",0.99999
"568","PKN2",1
"569","ABCD1",0.99896
"570","SETD1B",1
"571","CLCN4",0.99893
"572","ARHGEF9",0.9989
"573","B4GALT5",0.99889
"574","MSL1",0.9989
"575","SERPINC1",0.99892
"576","KALRN",1
"577","CASZ1",1
"578","MARCH6",1
"579","SFPQ",0.99992
"580","BCORL1",0.99999
"581","CMIP",0.99999
"582","PPRC1",1
"583","DDX26B",0.99992
"584","C11orf30",1
"585","EFEMP1",0.99992
"586","MAPKAP1",0.99991
"587","ATP1B1",0.99881
"588","ELFN1",0.99882
"589","SMCHD1",1
"590","FBXW2",0.99877
"591","GGA1",0.99992
"592","CAMSAP3",1
"593","AHR",0.99999
"594","DMD",1
"595","PPP1R10",1
"596","HDLBP",1
"597","ZNF609",1
"598","ARHGAP42",1
"599","OCRL",0.99999
"600","RICTOR",1
"601","ZNF541",1
"602","FASN",1
"603","ATAD2B",1
"604","PCIF1",0.99999
"605","DENND5B",1
"606","HOOK3",1
"607","ARHGEF2",1
"608","XPR1",0.99999
"609","INTS10",0.99999
"610","USP3",0.99989
"611","MARK2",0.99999
"612","IKZF1",0.9986
"613","CDH11",0.9999
"614","KDM4A",1
"615","RREB1",1
"616","CHD4",1
"617","HIPK2",1
"618","NR2E1",0.99864
"619","KPNA4",0.99989
"620","CHD5",1
"621","PLXND1",1
"622","RXRA",0.99852
"623","LRRC7",1
"624","ZFC3H1",1
"625","UBE4B",1
"626","DOCK3",1
"627","DMXL2",1
"628","PELP1",0.99998
"629","TXLNG",0.99845
"630","UNC13A",1
"631","MAT2A",0.99846
"632","HECTD1",1
"633","KCNQ2",0.99998
"634","TANC2",1
"635","PPP3CA",0.99988
"636","LARP4B",0.99998
"637","EPC2",0.99998
"638","ROBO2",1
"639","MAST1",1
"640","POLR2A",1
"641","GRIPAP1",0.99998
"642","PSMD11",0.99987
"643","TNRC6A",1
"644","ESPL1",1
"645","CUL5",1
"646","FBRS",0.99987
"647","SAP130",1
"648","ALG13",0.99998
"649","SMAD5",0.99838
"650","GNB2L1",0.99836
"651","SLIT2",1
"652","PPM1A",0.99834
"653","PPP4R2",0.99835
"654","GSPT1",0.99986
"655","PIP4K2B",0.99837
"656","ZFX",0.99831
"657","KANSL3",0.99998
"658","RORC",0.99985
"659","ZNF800",0.99985
"660","DPF2",0.99985
"661","APC",1
"662","FKBP8",0.99825
"663","OPHN1",0.99985
"664","USP48",1
"665","KDM6A",1
"666","CAPZA2",0.99828
"667","NPM1",0.99816
"668","PSMD12",0.99984
"669","ZNF131",0.99983
"670","GPC3",0.9982
"671","GRAMD4",0.99998
"672","KIF2A",0.99998
"673","FGD5",1
"674","CKAP5",1
"675","UPF1",1
"676","UTP14A",0.99983
"677","CHD1",1
"678","ZBTB2",0.9982
"679","CPSF6",0.99982
"680","FAM120A",1
"681","WDR43",0.99997
"682","CUX1",1
"683","ZNF865",0.99814
"684","MAPK8IP1",0.99983
"685","CDK19",0.99982
"686","NFKB2",1
"687","KDM5A",1
"688","TEX10",1
"689","KIAA0947",1
"690","MDM2",0.99981
"691","CASKIN1",1
"692","MYC",0.99801
"693","CLK2",0.99997
"694","PAX5",0.99798
"695","ZNF608",0.99999
"696","DSCAML1",1
"697","CCNJ",0.99796
"698","CCNK",0.9998
"699","TLK1",0.99999
"700","LARP1",1
"701","ARIH1",0.99997
"702","LRRC4",0.99787
"703","RBFOX3",0.99785
"704","ZNF629",0.99978
"705","KDM5C",1
"706","PHF6",0.99784
"707","DICER1",1
"708","GRIN2D",0.99996
"709","RPL5",0.99776
"710","PHF23",0.99774
"711","SIPA1L1",1
"712","MYH10",1
"713","GABBR2",0.99999
"714","CECR2",1
"715","F9",0.99776
"716","PAK7",0.99977
"717","USP11",0.99996
"718","PPP1R9B",0.99975
"719","SFSWAP",0.99999
"720","HNF1B",0.99976
"721","NOP2",0.99996
"722","TMEM63B",0.99999
"723","STAU1",0.99976
"724","ARPC2",0.99769
"725","CSK",0.99977
"726","SOX9",0.99772
"727","NCOR2",1
"728","ANK1",1
"729","ZNF236",1
"730","ABCA2",1
"731","PPP1R16B",0.99974
"732","RC3H2",1
"733","PAX6",0.99975
"734","CENPI",0.99974
"735","ZNF638",1
"736","NACC1",0.99763
"737","PDGFRA",1
"738","CADM4",0.99762
"739","ACVR2A",0.99972
"740","TRIM9",0.99973
"741","DYRK2",0.99751
"742","TRPC5",0.99973
"743","C7orf60",0.99746
"744","MKL2",0.99999
"745","GPATCH8",1
"746","ESCO1",0.99995
"747","GRID2",1
"748","WEE1",0.99973
"749","MBTPS2",0.99752
"750","PRPF4B",1
"751","ZNF654",0.99753
"752","CHD9",1
"753","KIF1B",1
"754","RNF2",0.99743
"755","DAGLA",0.99999
"756","MNT",0.99739
"757","PRKCD",0.99995
"758","KDM4B",1
"759","CELF1",0.99971
"760","ANKRD28",1
"761","MEN1",0.99971
"762","SYVN1",0.9997
"763","FZR1",0.99969
"764","ZFP91",0.9997
"765","ARMC8",0.99999
"766","CAMTA1",1
"767","LIN54",0.99994
"768","TRIM71",0.99969
"769","NKAP",0.99735
"770","TFAP4",0.99731
"771","ACVR1B",0.99969
"772","PSMD4",0.99726
"773","FBLN5",0.9997
"774","EEF2",0.99995
"775","ISY1-RAB43",0.9997
"776","CFLAR",0.99967
"777","OTUD5",0.99717
"778","HIVEP1",1
"779","GTF3C1",1
"780","ENAH",0.99994
"781","FOXO1",0.99725
"782","TNRC6B",1
"783","EEF1G",0.99967
"784","TENM4",1
"785","KLF4",0.99714
"786","SEC24C",1
"787","CTDSPL2",0.99966
"788","JADE2",0.99994
"789","PCGF1",0.99713
"790","TTC28",1
"791","GATA6",0.99709
"792","SCN3A",1
"793","PSME3",0.99714
"794","TET1",1
"795","NUP153",1
"796","CELF2",0.99965
"797","DDX6",0.99964
"798","BAG6",1
"799","EPHA4",1
"800","MKLN1",0.99998
"801","ZMYM4",1
"802","PPP2R5D",0.99993
"803","ANAPC2",0.99993
"804","FOXP1",0.99998
"805","TDRD1",1
"806","MAP4K4",1
"807","MAPK1",0.99698
"808","NCDN",0.99964
"809","BSN",1
"810","ADRM1",0.99704
"811","NCOR1",1
"812","CNOT7",0.99686
"813","MTM1",0.99961
"814","BAZ1A",1
"815","ABL1",0.99998
"816","JAKMIP2",1
"817","ZNF516",0.99992
"818","PTBP1",0.99961
"819","CLASP1",1
"820","HTT",1
"821","RELN",1
"822","BRPF1",1
"823","R3HDM2",1
"824","MYO9B",1
"825","PHF2",1
"826","PAPOLA",0.99998
"827","ZZZ3",0.99998
"828","EIF4ENIF1",0.99999
"829","PSME4",1
"830","NCL",0.99992
"831","GLA",0.99675
"832","GPHN",0.99998
"833","BRPF3",0.99998
"834","MSL3",0.99665
"835","PRPF8",1
"836","KDM2B",1
"837","AKT3",0.99958
"838","HIC2",0.99668
"839","PNISR",0.99998
"840","DPP10",0.99999
"841","MGAT5",0.99998
"842","NKRF",0.99661
"843","ADRBK1",0.99998
"844","ZER1",0.99992
"845","EXOC5",0.99991
"846","SF3B3",1
"847","SYMPK",1
"848","SPPL3",0.99656
"849","PKD1",1
"850","TEK",1
"851","G3BP2",0.99954
"852","ZBTB18",0.99658
"853","PTPN2",0.99953
"854","ARHGEF12",1
"855","LAS1L",0.99955
"856","PLK2",0.9999
"857","PITPNM2",1
"858","IDS",0.9964
"859","DST",1
"860","DNM2",0.99998
"861","PDS5B",1
"862","PTPRT",1
"863","RPL7",0.99626
"864","TOX3",0.9995
"865","CENPB",0.99634
"866","SERBP1",0.9995
"867","ZRANB2",0.99949
"868","HCN1",0.99989
"869","RELA",0.99948
"870","COPS3",0.99949
"871","TFDP2",0.9995
"872","WDR7",1
"873","TNIK",1
"874","ZDHHC17",0.99989
"875","NOL6",1
"876","NOVA1",0.99621
"877","LMTK3",0.99997
"878","ATP5A1",0.99945
"879","SLC7A3",0.99614
"880","MLLT10",1
"881","MLLT6",0.99997
"882","RP11-152F13.10",0.9961
"883","ATP2C1",1
"884","RNF8",0.99943
"885","SET",0.99597
"886","UBE3C",1
"887","SYCP2",1
"888","CIC",0.99999
"889","ACAN",1
"890","SF1",0.99943
"891","EPHB2",0.99997
"892","CSNK2A2",0.9994
"893","FAT4",1
"894","NAP1L1",0.99941
"895","MED12L",1
"896","ALAS2",0.99586
"897","CEP350",1
"898","DDX21",0.99997
"899","MEIS2",0.99938
"900","MTF2",0.99987
"901","MAP3K4",1
"902","SHANK1",1
"903","KLHL2",0.99985
"904","MTOR",1
"905","PACS1",0.99999
"906","GLUL",0.9957
"907","NAV3",1
"908","NCAM1",0.99999
"909","SARNP",0.99574
"910","WWC3",0.99996
"911","LRRC41",0.99986
"912","CTNND1",0.99999
"913","LPHN3",1
"914","CNKSR2",0.99996
"915","FXR2",0.99996
"916","SYK",0.99986
"917","PTPN12",0.99996
"918","PAPD7",0.99934
"919","PARP6",0.99996
"920","EEF1A2",0.99558
"921","HNRNPUL1",0.99999
"922","ZC3H11A",0.99996
"923","PRRC2A",1
"924","XKR6",0.99934
"925","ARID4B",1
"926","EIF3D",0.99983
"927","NDST1",0.99995
"928","PTPRF",1
"929","LPHN1",1
"930","ARHGEF7",0.99995
"931","GPKOW",0.99553
"932","EED",0.99929
"933","ZNF423",0.99996
"934","CUX2",1
"935","NFATC2",0.99995
"936","STAT1",0.99999
"937","TMEM108",0.99555
"938","DIDO1",1
"939","PHF20L1",1
"940","PRDM16",0.99999
"941","DLL4",0.99982
"942","SEPT7",0.99924
"943","CDC73",0.99995
"944","JARID2",0.99999
"945","SNRNP70",0.99926
"946","PRRC2B",1
"947","SOX5",0.99995
"948","GRIN2A",0.99998
"949","PLAG1",0.99532
"950","ASAP1",1
"951","CCT5",0.99928
"952","CNOT2",0.99981
"953","ELAVL2",0.99514
"954","SUGP2",0.99995
"955","RSPRY1",0.99981
"956","USP37",0.99999
"957","NRF1",0.99922
"958","NFKBIZ",0.99981
"959","RBBP5",0.99981
"960","DSCAM",1
"961","TTC7B",0.99998
"962","PRKD2",0.99995
"963","PAXBP1",0.99999
"964","UNK",0.99994
"965","KIAA2018",1
"966","AP2M1",0.99919
"967","NOS1",1
"968","CBX2",0.99503
"969","PPARD",0.99497
"970","YAP1",0.99918
"971","ESR1",0.9992
"972","THRAP3",0.99998
"973","UBE2Q1",0.99919
"974","RNF31",1
"975","NYAP1",0.99917
"976","SCARF2",0.9998
"977","C20orf112",0.99496
"978","DOCK9",1
"979","COL4A5",1
"980","NR2F1",0.99482
"981","WNK3",0.99999
"982","DKC1",0.99916
"983","SENP5",0.99978
"984","LGI1",0.99914
"985","BMPR2",0.99998
"986","SMARCE1",0.99915
"987","FURIN",0.99994
"988","SPTBN4",1
"989","RPL7A",0.99485
"990","TENM2",1
"991","ASIC2",0.99912
"992","ACTR3B",0.99911
"993","ARHGAP31",0.99999
"994","SNX27",0.99977
"995","AJAP1",0.99469
"996","PTPRA",0.99998
"997","GRIK3",0.99998
"998","MAP1A",1
"999","CEP170",1
"1000","GDI1",0.99471
"1001","XKR4",0.99912
"1002","HPN",0.99911
"1003","TNS3",1
"1004","MTPAP",0.99904
"1005","VDAC3",0.99454
"1006","SNAP91",0.99993
"1007","EBF2",0.99976
"1008","TAF5L",0.99904
"1009","ZBTB16",0.99907
"1010","AGO3",0.99997
"1011","PPME1",0.99904
"1012","GRIA3",0.99976
"1013","NFKBIA",0.99452
"1014","TENM1",1
"1015","CYBB",0.99904
"1016","SCAF11",1
"1017","TBX18",0.99905
"1018","SEC24B",1
"1019","ZNF280C",0.99899
"1020","ATN1",0.99992
"1021","EXOC8",0.99902
"1022","BHLHE40",0.99444
"1023","SH3KBP1",0.99899
"1024","SKI",0.99901
"1025","DCUN1D5",0.99432
"1026","SOGA1",1
"1027","CHM",0.99899
"1028","RBFOX2",0.99902
"1029","RAE1",0.99902
"1030","RUVBL1",0.99902
"1031","SMEK1",0.99992
"1032","TBR1",0.99901
"1033","PSMD13",0.99901
"1034","GLI3",0.99999
"1035","SGIP1",0.99997
"1036","FOXP3",0.99424
"1037","KIAA0232",0.99999
"1038","WDR44",0.99972
"1039","CACNG3",0.99417
"1040","SIN3B",0.99999
"1041","ATRN",1
"1042","KLHL15",0.99422
"1043","ACTR2",0.99896
