"","gene","pLI"
"12236","SLC47A2",9.2836e-15
"12237","RNASEL",1.9513e-10
"12238","PDSS2",4.3743e-08
"12239","OPA3",0.5657
"12240","UGT1A4",5.9807e-07
"12241","TDP2",1.134e-08
"12242","SHQ1",4.7806e-11
"12243","COG8",2.9725e-09
"12244","GLT8D1",1.1343e-08
"12245","C17orf66",4.8498e-16
"12246","PDZD7",7.6433e-10
"12247","CXCL11",0.31408
"12248","SH3BP2",1.156e-11
"12249","TFEC",4.2824e-08
"12250","MRFAP1",0.31404
"12251","BRMS1",1.579e-07
"12252","CLEC10A",7.7599e-06
"12253","PADI1",2.0388e-15
"12254","PADI4",4.6001e-16
"12255","TMEM30C",0.56514
"12256","PVRIG",0.0040685
"12257","HOXC11",0.004059
"12258","KRT28",7.4212e-10
"12259","CHRNA5",2.1488e-06
"12260","RIC3",2.1447e-06
"12261","COMMD3",2.776e-05
"12262","OR10K1",0.31356
"12263","PIK3C2G",9.5013e-40
"12264","HS3ST3A1",0.013565
"12265","PINK1",1.8749e-10
"12266","ACTL9",0.0040543
"12267","CCDC58",0.0040567
"12268","GUF1",5.3495e-18
"12269","B4GALT4",5.8287e-07
"12270","C9orf24",2.1359e-06
"12271","NPL",1.5688e-07
"12272","FUT4",7.7294e-06
"12273","CCDC85B",0.31331
"12274","OVOL3",0.0011868
"12275","PNKD",4.1392e-08
"12276","POF1B",4.507e-11
"12277","LMOD3",1.5519e-07
"12278","SPR",0.0434
"12279","ASTE1",7.2103e-10
"12280","WFIKKN1",7.7014e-06
"12281","ALDH9A1",1.0995e-11
"12282","ZNF502",4.1603e-08
"12283","NOX4",5.7555e-20
"12284","IL17RB",4.4601e-11
"12285","ITGB1BP1",9.6972e-05
"12286","CENPH",1.5465e-07
"12287","RAD51L3-RFFL",2.0968e-06
"12288","HSD17B13",2.7371e-05
"12289","CTC-512J12.6",0.12761
"12290","C6ORF165",8.0894e-15
"12291","NEBL",1.7679e-36
"12292","ZNF185",6.3026e-13
"12293","FAM177A1",0.0011791
"12294","TRMT10C",9.7105e-05
"12295","FBXO44",2.1091e-06
"12296","FAM81B",1.0816e-11
"12297","HEXDC",4.3406e-11
"12298","ASPG",6.1787e-13
"12299","EXOSC5",0.0040091
"12300","LZIC",0.0011711
"12301","CAPN9",1.3256e-22
"12302","HSPB8",0.043128
"12303","HSPBAP1",4.4074e-11
"12304","RDH8",0.0011708
"12305","C14orf164",1.0617e-08
"12306","CALR3",6.9788e-10
"12307","CTD-2260A17.2",0.56415
"12308","OSCP1",7.0317e-10
"12309","TMA16",9.6522e-05
"12310","FAM64A",0.0011659
"12311","NAGS",4.0325e-08
"12312","ANO6",7.3158e-32
"12313","PCDHGB2",2.5408e-12
"12314","C11orf70",2.0691e-06
"12315","HTR3A",1.7499e-10
"12316","COX7C",0.56366
"12317","HAAO",1.0561e-08
"12318","PAPLN",7.4895e-38
"12319","IL17A",0.043049
"12320","SKA3",1.5109e-07
"12321","STOM",2.7047e-05
"12322","SAMD12",0.0011661
"12323","SLC2A9",6.9451e-10
"12324","C15orf52",1.405e-13
"12325","UBXN11",1.3973e-13
"12326","PPP1R36",1.7114e-10
"12327","KCNJ5",0.00033577
"12328","AGBL1",1.4377e-30
"12329","CCDC37",4.6757e-18
"12330","CBLC",4.2394e-11
"12331","GRAMD3",2.5212e-12
"12332","ZFYVE19",3.2046e-14
"12333","KIF9",5.4841e-22
"12334","CDCA5",0.0011583
"12335","DMP1",1.4881e-07
"12336","ENPEP",1.3878e-28
"12337","RBFA",9.5095e-05
"12338","SARM1",1.7007e-10
"12339","TERF2IP",2.6683e-05
"12340","DALRD3",1.6886e-10
"12341","CCER2",0.0039706
"12342","PPP1R14A",0.12672
"12343","PRG3",0.00033439
"12344","C2orf61",9.5142e-05
"12345","SCRN3",1.4833e-07
"12346","ACAT2",5.5303e-07
"12347","GPR113",1.1879e-22
"12348","DQX1",5.0034e-20
"12349","HDHD1",0.12667
"12350","SCTR",2.4257e-12
"12351","ADAD2",2.3904e-12
"12352","TSEN2",1.0092e-11
"12353","C3orf20",2.381e-21
"12354","CSRP1",0.0003328
"12355","LRRC2",5.5017e-07
"12356","SNAI3",0.013249
"12357","RP11-385D13.1",5.7998e-26
"12358","TRIT1",4.0895e-11
"12359","HYKK",7.3257e-06
"12360","KRT84",6.5597e-10
"12361","MPO",7.105e-15
"12362","SLC22A8",2.6004e-09
"12363","VAMP1",0.0039396
"12364","HAO1",1.4578e-07
"12365","ZNF786",2.3543e-12
"12366","TATDN3",5.4402e-07
"12367","CES3",2.3374e-12
"12368","CSNK1A1L",0.013174
"12369","IQCK",2.0032e-06
"12370","GPR112",1.2147e-34
"12371","MASP2",3.0428e-14
"12372","TIMM21",9.3324e-05
"12373","SLC13A2",1.2919e-13
"12374","CSH2",0.013182
"12375","TRPV3",4.6013e-20
"12376","ESD",5.3945e-07
"12377","MRPS24",0.0039242
"12378","ANKRD61",0.0039262
"12379","TTC16",4.1102e-18
"12380","TRIM69",2.5727e-09
"12381","ZNF432",3.0049e-14
"12382","TSR3",0.0011406
"12383","NBPF1",2.3773e-25
"12384","HMGN5",0.30957
"12385","MRPL2",1.4285e-07
"12386","SH3RF2",1.2714e-13
"12387","ARSG",6.3682e-10
"12388","CIB1",0.00032612
"12389","KIR2DL4",0.042308
"12390","ATP5J2-PTCD1",2.9087e-14
"12391","TGDS",2.4826e-09
"12392","PTCD1",2.9087e-14
"12393","CDKL3",2.2569e-12
"12394","CHRNA3",1.4197e-07
"12395","RILPL2",0.00389
"12396","SPATA7",5.1769e-13
"12397","SCPEP1",1.2284e-13
"12398","FAM195B",0.042217
"12399","CA4",7.1318e-06
"12400","DFNB59",3.7194e-08
"12401","PLK5",9.1971e-05
"12402","GCKR",8.5354e-19
"12403","SH2D1B",0.013037
"12404","CD276",2.4699e-09
"12405","IQCF1",0.0011241
"12406","ZNF195",0.0038677
"12407","HOXC9",0.012993
"12408","ZNF738",0.042023
"12409","FUNDC1",0.042053
"12410","TIFA",0.12501
"12411","TPMT",7.1064e-06
"12412","VWA8",8.4114e-70
"12413","CWF19L1",1.4404e-15
"12414","TSSK2",0.003861
"12415","LPO",7.4989e-17
"12416","ADAMTSL5",3.7025e-11
"12417","OTOP3",3.6938e-11
"12418","CAPN11",4.4077e-24
"12419","NBPF3",8.0766e-19
"12420","ZSCAN31",3.647e-08
"12421","CCDC154",7.2485e-17
"12422","TMC2",2.083e-27
"12423","ARHGEF19",3.9492e-20
"12424","MFAP3",0.0011201
"12425","RPTN",2.5475e-05
"12426","TLL2",2.1374e-31
"12427","GCSAML",0.12474
"12428","TMPRSS15",4.5847e-32
"12429","BAG2",0.042
"12430","PRCP",8.7577e-12
"12431","EXOC3L1",1.7404e-19
"12432","PNP",6.9987e-06
"12433","COMMD4",0.00032013
"12434","FARS2",9.2964e-09
"12435","PDPN",0.00032048
"12436","MUL1",1.9108e-06
"12437","SERPINB13",7.0156e-06
"12438","MBOAT4",1.3575e-07
"12439","EDARADD",0.0003182
"12440","C1QA",0.0038204
"12441","PFKP",8.8342e-25
"12442","ACADM",2.0548e-12
"12443","PLA2G3",3.5604e-11
"12444","CNGB1",1.8369e-37
"12445","SCLY",2.3341e-09
"12446","CHRNA6",3.5719e-08
"12447","PLSCR4",1.8979e-06
"12448","SLC35A5",1.8916e-06
"12449","WHAMM",4.8122e-13
"12450","ARMC4",1.9031e-25
"12451","RNF141",9.0192e-05
"12452","CNTN6",9.0232e-31
"12453","ZNF623",6.9313e-06
"12454","MOCOS",1.6193e-19
"12455","YPEL3",0.041612
"12456","SLC22A2",2.0202e-12
"12457","SPRY3",0.0038066
"12458","TWIST2",0.56004
"12459","NR1I3",3.5259e-08
"12460","FAM183A",0.041627
"12461","TMEM127",0.012865
"12462","FIGF",2.498e-05
"12463","FASTKD3",5.8599e-10
"12464","ZNF165",9.111e-09
"12465","OFCC1",1.8876e-06
"12466","NEK4",8.6883e-27
"12467","LEPREL1",7.7878e-21
"12468","MTHFD2L",6.8566e-06
"12469","C18orf54",1.8657e-06
"12470","C1RL",3.4642e-08
"12471","HLA-DRB1",0.0010997
"12472","HRH1",1.858e-06
"12473","NCR3LG1",8.8569e-05
"12474","C9orf117",8.2434e-12
"12475","DIRC2",2.2526e-09
"12476","OXSM",2.4742e-05
"12477","OIT3",3.392e-11
"12478","IZUMO2",2.4749e-05
"12479","DCDC2",5.6611e-10
"12480","DCSTAMP",1.8609e-06
"12481","ISCU",0.041463
"12482","PCDHA13",2.4469e-14
"12483","LRRC9",1.5993e-33
"12484","TACR2",8.8349e-05
"12485","XKRX",0.00031303
"12486","KHDC3L",0.12327
"12487","C16orf97",0.04133
"12488","MSRB3",0.003766
"12489","OR8D4",0.12338
"12490","NDUFS4",0.00031196
"12491","TRPA1",7.2309e-35
"12492","SLC9A3R1",8.8416e-05
"12493","C11orf88",0.00031184
"12494","ABCC2",5.2025e-47
"12495","PTPMT1",0.012681
"12496","ORMDL1",0.12321
"12497","TFAP2E",2.4455e-05
"12498","MSH3",7.4413e-31
"12499","SBSPON",6.7083e-06
"12500","EFCAB6",1.1933e-45
"12501","STX4",1.3021e-07
"12502","H3F3A",0.1231
"12503","SIAE",7.7865e-12
"12504","EPCAM",1.2844e-07
"12505","CLIC4",0.0010866
"12506","ZNF226",5.2389e-15
"12507","SLC12A9",1.1806e-15
"12508","ZNF595",0.3055
"12509","MLNR",0.012661
"12510","EIF4EBP2",0.30552
"12511","HPSE",2.266e-14
"12512","BAG5",1.81e-06
"12513","SLC25A10",4.8646e-07
"12514","SLC25A29",0.0010861
"12515","FAM153A",6.6975e-06
"12516","CEP44",1.2728e-07
"12517","CMTR2",5.3475e-10
"12518","HSD17B7",6.6475e-06
"12519","FAM169B",0.012612
"12520","TPBG",0.012627
"12521","MRO",1.7975e-06
"12522","GYPA",0.0010811
"12523","SLX1A",0.12268
"12524","ZNF675",0.12265
"12525","ZNF200",1.7956e-06
"12526","CHTF18",3.0747e-28
"12527","ZNHIT6",7.5337e-12
"12528","GCNT2",2.4065e-05
"12529","DFFA",8.6585e-05
"12530","RHOB",0.12253
"12531","AC006547.14",4.795e-07
"12532","TMED6",8.6323e-05
"12533","RPUSD4",4.7321e-07
"12534","ANKK1",7.4008e-12
"12535","PCDHA11",5.4635e-17
"12536","ADAM28",2.9634e-24
"12537","MCAT",0.00030611
"12538","PLEKHF1",0.012523
"12539","GDAP1",3.2448e-08
"12540","SYNM",3.0339e-24
"12541","TULP2",2.4676e-16
"12542","PIGX",2.3843e-05
"12543","OCEL1",0.00030592
"12544","ADM",0.040831
"12545","SERPINB11",4.7328e-07
"12546","GNE",2.4844e-16
"12547","MLC1",3.2425e-08
"12548","ACADL",1.743e-12
"12549","LDLRAP1",6.5037e-06
"12550","C2orf62",2.0831e-09
"12551","ELL3",1.6997e-12
"12552","PPAN",1.7244e-12
"12553","PPAN-P2RY11",1.7244e-12
"12554","CA13",1.7599e-06
"12555","BAG1",6.5264e-06
"12556","FUT11",1.7598e-06
"12557","SLC24A5",5.1503e-10
"12558","SLC19A1",6.4655e-06
"12559","NPSR1",2.0518e-09
"12560","MEGT1",1.234e-07
"12561","TRIM62",3.1787e-08
"12562","TIGD1",0.0036808
"12563","LTF",1.2665e-21
"12564","SLC22A18",6.458e-06
"12565","TPD52",8.4929e-05
"12566","SAMD15",1.2383e-10
"12567","C19orf55",5.0594e-10
"12568","LGALS9B",8.4381e-05
"12569","TSPAN2",2.3496e-05
"12570","CRTAM",8.0626e-09
"12571","ZC3HAV1L",0.0010577
"12572","GTF2IRD2",3.1521e-08
"12573","CBLN2",0.12162
"12574","NOD1",2.4602e-18
"12575","GRHPR",4.6393e-07
"12576","POLR3GL",2.3404e-05
"12577","PCDHB17",2.3485e-05
"12578","CYP2E1",8.0688e-09
"12579","CRYZL1",2.0125e-09
"12580","FAM83D",3.128e-08
"12581","PYROXD2",1.0027e-15
"12582","PKDREJ",2.0073e-09
"12583","HK3",5.599e-23
"12584","AMDHD1",3.1269e-08
"12585","IDUA",3.7599e-13
"12586","DMRTA1",6.3708e-06
"12587","SLC47A1",1.9605e-14
"12588","DZANK1",5.3034e-21
"12589","GNPNAT1",0.012367
"12590","ERMAP",4.9067e-10
"12591","DUSP14",0.12114
"12592","FRA10AC1",4.911e-10
"12593","SLC25A20",1.1972e-07
"12594","PDCD5",0.0036424
"12595","CCDC51",3.1061e-08
"12596","GCFC2",2.5566e-24
"12597","PLA2G4F",1.1507e-27
"12598","APOBEC3A",0.0010454
"12599","QTRTD1",4.8537e-10
"12600","BLK",8.348e-14
"12601","ZDHHC1",4.8355e-10
"12602","ITFG3",6.7039e-12
"12603","TMEM9",0.0036291
"12604","XIRP1",2.2682e-30
"12605","LAX1",0.00029571
"12606","LRPAP1",4.4951e-07
"12607","IZUMO1",3.0387e-08
"12608","CASP4",3.0474e-08
"12609","DPYS",2.785e-11
"12610","PPID",1.9309e-09
"12611","PLIN3",1.179e-07
"12612","MPI",1.1715e-07
"12613","COX6B1",0.12065
"12614","ME1",8.2005e-14
"12615","SEPT10",4.7356e-10
"12616","KDELC2",1.1421e-10
"12617","RRP15",0.00029428
"12618","ZNF764",8.2354e-05
"12619","LINGO4",8.2397e-05
"12620","GRM6",4.4632e-17
"12621","TNFRSF10D",3e-08
"12622","DUSP18",0.12048
"12623","SLC16A3",0.00029385
"12624","MRPL41",0.55531
"12625","NEK5",1.0081e-23
"12626","FAM153B",2.9703e-08
"12627","SNRNP48",7.5727e-09
"12628","TMEM41A",0.00029269
"12629","DBF4B",2.677e-11
"12630","PMM1",1.6587e-06
"12631","FAM227A",1.9662e-16
"12632","CPT2",4.598e-10
"12633","ABRA",6.1508e-06
"12634","DMRT3",6.1531e-06
"12635","HELB",9.5899e-26
"12636","LTB4R",0.11994
"12637","ACADSB",2.6565e-11
"12638","GSTM3",4.3638e-07
"12639","TKTL2",1.1378e-07
"12640","OR10T2",0.12008
"12641","INS",0.30091
"12642","LRRC17",1.1461e-07
"12643","WNT16",1.6523e-06
"12644","GDE1",6.1163e-06
"12645","SH3BGRL",0.30081
"12646","PHTF1",9.6863e-26
"12647","ADH6",1.6373e-06
"12648","DMGDH",2.0503e-24
"12649","FAM53A",0.0035705
"12650","IL1RL1",1.4407e-12
"12651","SLC39A3",0.1197
"12652","CROT",4.4315e-25
"12653","IFLTD1",1.093e-10
"12654","RBM11",2.2392e-05
"12655","PLAC8",0.11953
"12656","FAM26E",0.0010205
"12657","ATAD3C",7.2718e-09
"12658","EGFL8",1.1262e-07
"12659","LINGO3",0.012114
"12660","GLT6D1",0.11957
"12661","ADAL",1.6257e-06
"12662","NR1I2",7.2668e-09
"12663","CCNO",0.003548
"12664","CHADL",2.8914e-08
"12665","RAB3C",0.00028942
"12666","DCT",7.3889e-14
"12667","CLIC5",1.6209e-06
"12668","CLN8",0.0035591
"12669","SSPN",0.039646
"12670","FCAMR",4.483e-10
"12671","DSPP",1.1191e-07
"12672","TAS1R1",7.3432e-14
"12673","INPP5J",1.8139e-16
"12674","PRSS27",8.0112e-05
"12675","FDXACB1",4.3999e-10
"12676","MRPL42",0.039597
"12677","MYO19",1.5479e-34
"12678","PAQR7",0.00028797
"12679","DPCD",0.00028791
"12680","SLC26A4",8.9898e-22
"12681","ALG2",8.0497e-05
"12682","MED22",8.0393e-05
"12683","FMO4",1.0592e-10
"12684","NUDT17",1.1109e-07
"12685","GPATCH11",1.1151e-07
"12686","MED29",0.0010191
"12687","NPHS2",7.2218e-09
"12688","CD320",0.003525
"12689","C12orf10",4.3496e-10
"12690","IGFL3",0.012036
"12691","CYP1B1",2.2024e-05
"12692","CCDC126",0.11918
"12693","C6orf203",0.0010125
"12694","ADAM2",1.8889e-22
"12695","FRMPD2",1.5123e-32
"12696","CLDN1",0.0010103
"12697","CHMP1A",0.00028502
"12698","RANBP3L",7.8033e-16
"12699","TMLHE",7.9575e-05
"12700","UTP11L",1.0932e-07
"12701","MDH1B",6.8732e-14
"12702","HELT",0.0010075
"12703","TRIM55",6.9041e-14
"12704","GBP7",1.5462e-14
"12705","CEBPA",0.55365
"12706","C16orf78",5.9448e-06
"12707","CCNB2",5.7407e-12
"12708","BLOC1S2",0.011948
"12709","C16orf93",2.7592e-08
"12710","CCDC173",3.4215e-15
"12711","LIPG",1.0165e-10
"12712","NOP16",0.011953
"12713","CHST9",6.9512e-09
"12714","NDUFA1",0.55315
"12715","NSMCE1",2.1753e-05
"12716","TTLL13",5.6537e-12
"12717","SLC46A3",6.9222e-09
"12718","CCDC89",7.8532e-05
"12719","IL17F",0.039165
"12720","RAD51AP2",7.9703e-20
"12721","UBL4A",0.29855
"12722","CTBS",1.0768e-07
"12723","ZCCHC3",0.011938
"12724","STXBP6",7.8743e-05
"12725","CXCL1",0.11845
"12726","OR52I1",0.11857
"12727","CXCL12",0.11851
"12728","GOLGA6C",0.001001
"12729","NANOS3",0.039203
"12730","CLRN3",0.039218
"12731","GTF3C6",0.00028269
"12732","ACOT9",6.8017e-09
"12733","ISM2",2.3337e-11
"12734","FOXR1",1.551e-06
"12735","C20orf78",0.55269
"12736","TGM7",7.8438e-20
"12737","FANK1",1.6807e-09
"12738","MARVELD2",1.2584e-12
"12739","ZNF354C",4.108e-10
"12740","COTL1",0.039077
"12741","ASAH1",1.2588e-12
"12742","BCMO1",5.5008e-12
"12743","UGT2A1",2.9014e-13
"12744","SQRDL",4.1314e-10
"12745","STK19",6.7428e-09
"12746","METTL2B",1.6691e-09
"12747","NT5E",2.2881e-11
"12748","EEFSEC",2.6975e-08
"12749","SLC15A5",1.6745e-09
"12750","ABHD3",1.6717e-09
"12751","ENPP6",6.7521e-09
"12752","HEPHL1",1.1459e-34
"12753","CUZD1",2.2917e-11
"12754","ZNF404",2.6828e-08
"12755","KRTAP1-3",0.11801
"12756","OAF",0.0034624
"12757","PTPRH",1.0298e-36
"12758","ASPN",1.0389e-07
"12759","FAM71F1",1.0457e-07
"12760","PCDHGA7",1.2273e-12
"12761","IL13RA2",4.021e-07
"12762","LURAP1",0.011822
"12763","EFCC1",1.0453e-07
"12764","SSUH2",3.9939e-10
"12765","EIF1AY",0.55208
"12766","SEL1L2",7.3382e-20
"12767","TMEM179B",0.00098906
"12768","TXNDC17",0.038897
"12769","EFCAB1",0.00027724
"12770","PNLIPRP2",3.9766e-10
"12771","C6orf10",1.4756e-16
"12772","FARP2",4.6425e-36
"12773","TAPBP",6.6044e-09
"12774","KLRG1",0.0034459
"12775","OR6A2",0.11773
"12776","SRCRB4D",5.1832e-12
"12777","CALY",0.038696
"12778","IFIT3",0.11732
"12779","PCDHGA4",2.1897e-11
"12780","BBS4",1.4549e-16
"12781","ALOX15B",1.4819e-18
"12782","METTL6",2.1044e-05
"12783","NINJ1",0.11745
"12784","RASD1",0.038736
"12785","TRMT10A",3.8911e-10
"12786","C8A",6.5536e-16
"12787","C2orf48",0.2964
"12788","PNLIPRP3",2.1705e-11
"12789","EID2",0.29648
"12790","LMAN1L",2.6071e-13
"12791","TGM2",6.8118e-18
"12792","SPINK4",0.29634
"12793","MPC1",0.038495
"12794","STYK1",9.1009e-11
"12795","ARMCX6",0.11709
"12796","TK2",3.9054e-07
"12797","HFE",2.5587e-08
"12798","EIF1AD",0.0034032
"12799","SGCZ",6.4001e-09
"12800","CYP2R1",3.793e-10
"12801","RAP2C",0.29631
"12802","GPR157",0.00097453
"12803","HIBCH",2.5766e-13
"12804","ABCA8",1.609e-52
"12805","ACD",1.1148e-12
"12806","PDE6B",2.6155e-27
"12807","TAC3",0.01165
"12808","THUMPD2",1.5442e-09
"12809","C11orf48",2.0614e-05
"12810","WDR31",1.5482e-09
"12811","ADAT1",2.5388e-13
"12812","C1orf35",7.568e-05
"12813","CNTLN",3.9521e-49
"12814","C7orf73",0.55075
"12815","OR2B6",0.0034004
"12816","CAPZA3",0.00097097
"12817","PSPH",0.00096703
"12818","USP41",2.0796e-11
"12819","CLEC2B",0.011614
"12820","GAS8",1.0876e-12
"12821","ATP7B",4.8001e-30
"12822","ZNF554",3.7213e-10
"12823","CYP8B1",2.0558e-05
"12824","TMEM109",7.507e-05
"12825","HSD11B1L",0.00027093
"12826","GDF9",5.5222e-06
"12827","MCOLN2",1.2502e-14
"12828","PTPLAD2",2.0561e-05
"12829","ALG3",3.6777e-10
"12830","HYAL3",3.8292e-07
"12831","SIT1",0.00096493
"12832","PARP11",6.1763e-09
"12833","SLC25A30",6.1722e-09
"12834","PRF1",5.4875e-06
"12835","YEATS4",7.464e-05
"12836","PCDHA12",2.4185e-13
"12837","CD109",2.2707e-44
"12838","TMEM40",2.4842e-08
"12839","PRODH2",2.452e-13
"12840","ATP6V0E2",0.29517
"12841","WDR89",7.4832e-05
"12842","CTD-2410N18.5",0.11635
"12843","PPIH",7.4626e-05
"12844","ABHD16B",7.4371e-05
"12845","AK8",2.0053e-11
"12846","ACBD7",0.11605
"12847","PRKAG3",4.618e-12
"12848","CLDN22",0.038131
"12849","CMTM7",0.038169
"12850","CENPA",0.011536
"12851","IQCF5",0.011551
"12852","APOA4",5.4536e-06
"12853","HDDC2",2.0302e-05
"12854","GANC",7.5457e-35
"12855","SLC2A5",3.5691e-10
"12856","TRDMT1",3.5589e-10
"12857","PLA2G12B",0.00095391
"12858","SFXN3",2.4372e-08
"12859","MUTYH",1.2619e-18
"12860","ZKSCAN3",1.9697e-11
"12861","CYP26A1",8.4269e-11
"12862","PGLYRP3",9.6075e-08
"12863","EPPIN",7.4025e-05
"12864","EPPIN-WFDC6",7.4025e-05
"12865","ERAP2",1.0028e-28
"12866","DDX49",5.2505e-14
"12867","APOM",0.00095567
"12868","RNF39",2.0207e-05
"12869","DGUOK",3.7122e-07
"12870","MAP9",2.5444e-15
"12871","RPF1",2.3931e-08
"12872","EFCAB7",2.6115e-17
"12873","EFNA2",0.038008
"12874","AWAT1",0.00026614
"12875","OPRD1",0.0033233
"12876","BTN3A1",5.8712e-09
"12877","IGFBP1",0.00094677
"12878","STARD6",0.00026527
"12879","TSTD2",1.8987e-11
"12880","ANGPTL6",2.3705e-08
"12881","TRAPPC12",5.3624e-16
"12882","SH2D7",2.3722e-08
"12883","FAM163A",0.1155
"12884","RUFY4",5.0653e-14
"12885","SLAMF8",5.341e-06
"12886","ANKRD9",0.29363
"12887","C3orf30",5.8545e-09
"12888","CCDC171",3.035e-47
"12889","CD68",1.4063e-06
"12890","CALHM3",0.003306
"12891","GCOM1",2.3874e-19
"12892","STEAP1",5.27e-06
"12893","SEC22A",1.3936e-06
"12894","ST3GAL6",2.3272e-08
"12895","KCNAB3",2.4251e-17
"12896","KRT86",3.6139e-07
"12897","MMRN1",2.0714e-25
"12898","TCF19",0.00093832
"12899","TSPEAR",2.4371e-17
"12900","ALG14",0.00093727
"12901","SLC5A8",4.9955e-16
"12902","ARL15",0.00093584
"12903","RASA2",7.391e-31
"12904","RASA4",0.115
"12905","TCP10L",0.0032979
"12906","IL36B",0.0032983
"12907","C17orf112",0.29303
"12908","C17orf51",0.11492
"12909","C10orf82",0.011358
"12910","MRPL22",1.3883e-06
"12911","CA5B",0.00026112
"12912","SLC39A2",7.204e-05
"12913","DSC3",2.2848e-21
"12914","PTCHD3",3.3312e-10
"12915","PMCH",0.11486
"12916","ZNF575",0.11491
"12917","CBWD1",1.369e-06
"12918","DHRSX",0.00026081
"12919","ARL4D",0.03757
"12920","SLC25A51",0.0032782
"12921","NDUFAF6",9.0736e-08
"12922","DYDC1",0.00026003
"12923","TMCO3",4.936e-16
"12924","EPPK1",1.0343e-37
"12925","ALKBH2",0.0032745
"12926","SLC12A3",3.0324e-32
"12927","C10orf11",0.0002589
"12928","GZMM",0.011275
"12929","PEX2",0.00025931
"12930","FITM1",0.00025936
"12931","RNF168",2.0514e-13
"12932","ARRDC1",1.3606e-06
"12933","NCF4",9.0248e-08
"12934","ZNF225",0.11448
"12935","SHISA4",0.0009272
"12936","ZNF385C",1.3511e-06
"12937","FXYD2",0.11431
"12938","C19orf54",5.1312e-06
"12939","MCHR2",5.1594e-06
"12940","FAHD2A",1.3522e-06
"12941","CHPF2",2.1868e-17
"12942","CXCL14",0.037302
"12943","ENKUR",7.0721e-05
"12944","MMP21",1.3213e-09
"12945","NUBP2",0.00092127
"12946","OR10P1",0.11405
"12947","SOX7",3.4831e-07
"12948","CTD-2192J16.24",0.00092057
"12949","GNG11",0.54709
"12950","SLC39A5",7.3793e-11
"12951","CYP2A6",5.401e-09
"12952","NDUFAF5",3.1138e-10
"12953","BSPRY",1.3336e-06
"12954","CTSF",1.9431e-13
"12955","KLHDC8A",3.4494e-07
"12956","HMGCS2",4.3354e-14
"12957","ZNF37A",1.3004e-09
"12958","TNNI1",7.0162e-05
"12959","AC006946.15",0.11381
"12960","PTX3",6.9827e-05
"12961","C1orf141",0.0032311
"12962","IMMP2L",0.011165
"12963","HEATR4",1.3711e-29
"12964","AMPD1",1.9099e-21
"12965","SCOC",0.011142
"12966","LRTOMT",6.9976e-05
"12967","PCDHB8",1.3226e-06
"12968","SYPL2",1.8911e-05
"12969","BRF2",3.7481e-12
"12970","BNIPL",3.0268e-10
"12971","MRPL12",0.0032204
"12972","RPS29",0.29053
"12973","LIPM",3.025e-10
"12974","MOBP",0.54623
"12975","TCP10",5.0062e-06
"12976","ALG10",1.3151e-06
"12977","PLEK2",5.2858e-09
"12978","HABP2",1.9637e-15
"12979","COL20A1",1.3806e-40
"12980","SULT1C4",4.9677e-06
"12981","NAALADL1",1.8164e-21
"12982","LDHB",4.9734e-06
"12983","PCDHA10",4.0942e-14
"12984","MYL12B",0.11325
"12985","NUDCD2",0.0031978
"12986","MAK",8.6266e-19
"12987","RPE",0.00025152
"12988","THEGL",2.1051e-08
"12989","EFHC1",1.8959e-17
"12990","ANKRD39",0.00090169
"12991","GYPC",0.11297
"12992","MYBBP1A",5.2346e-42
"12993","RASSF1",4.9255e-06
"12994","NFYB",0.00024967
"12995","TMUB1",0.036741
"12996","CEACAM8",3.3021e-07
"12997","CLEC9A",1.8488e-05
"12998","P2RX1",6.7632e-11
"12999","TGM4",3.796e-20
"13000","FUT7",1.29e-06
"13001","HOXD1",0.0031828
"13002","LSM1",0.011027
"13003","MMP9",1.8869e-17
"13004","TBC1D17",8.0387e-21
"13005","OR51I2",0.036748
"13006","HYPK",0.036644
"13007","C8orf47",1.8356e-05
"13008","MPPE1",1.2197e-09
"13009","NME1",0.0031764
"13010","SLC27A5",8.3678e-15
"13011","HIST2H2BE",0.54518
"13012","ZSWIM7",0.00089609
"13013","ZSCAN22",8.2509e-08
"13014","LAIR1",3.2563e-07
"13015","RAB39A",0.00089193
"13016","A1BG",4.9917e-09
"13017","PCDHGA6",8.2779e-15
"13018","DCDC2B",2.0422e-08
"13019","C10orf90",8.315e-15
"13020","VSTM2B",0.0031624
"13021","MFSD6L",2.0172e-08
"13022","LIPH",6.5309e-11
"13023","NTN3",3.2291e-07
"13024","POP4",1.8179e-05
"13025","ZNF808",0.28866
"13026","PID1",0.003148
"13027","TRH",0.00089084
"13028","KCNJ11",0.010894
"13029","KCTD4",0.0031378
"13030","RECQL4",3.3132e-35
"13031","TIGD6",4.7979e-06
"13032","MOSPD3",0.00024549
"13033","PNKP",3.662e-14
"13034","GLB1L3",6.7255e-23
"13035","ZNF852",4.8955e-09
"13036","GRK7",1.9791e-08
"13037","ITIH5",7.0952e-21
"13038","SRL",8.0004e-08
"13039","IFNAR1",3.2501e-12
"13040","NDUFV1",6.3562e-11
"13041","OR52N1",0.1118
"13042","MFSD2B",6.3325e-11
"13043","CCL21",0.036239
"13044","MX1",3.4206e-18
"13045","FAM180B",0.00087865
"13046","SUPT4H1",0.0008774
"13047","OR51H1P",0.1117
"13048","MYOZ1",1.7902e-05
"13049","RADIL",6.2671e-23
